N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
31 vowel.scale 7 1 False 10 0.9015151 89.39393939393939 0.9772727 95.45454545454545 0.87878793 78.03030303030303 0.72727275 62.878787878787875 0.8939394 93.18181818181817 0.875758 83.787879 28.940474
32 vowel.scale 7 2 False 10 0.9015151 89.39393939393939 0.88636357 87.87878787878788 0.87878793 78.03030303030303 NaN NaN NaN NaN 0.888889 85.101010 61.069328
33 vowel.scale 7 3 False 10 0.9015151 89.39393939393939 0.969697 96.21212121212122 NaN NaN NaN NaN NaN NaN 0.935606 92.803030 205.824948
34 vowel.scale 7 4 False 10 0.9015151 89.39393939393939 0.9469697 93.18181818181817 NaN NaN NaN NaN NaN NaN 0.924242 91.287879 1.640334
35 vowel.scale 7 5 False 10 0.8333333 80.3030303030303 NaN NaN NaN NaN NaN NaN NaN NaN 0.833333 80.303030 1.152434
36 vowel.scale 8 1 False 10 0.56060606 52.27272727272727 0.6363636 40.909090909090914 0.4772727 86.36363636363636 0.7348485 70.45454545454545 0.9015151 93.18181818181817 0.662121 68.636364 9.876860
37 vowel.scale 8 2 False 10 0.6666667 63.63636363636363 0.6136364 54.54545454545454 0.68939394 67.42424242424242 NaN NaN NaN NaN 0.656566 61.868687 21.840797
38 vowel.scale 8 3 False 10 0.4621212 31.060606060606062 0.78030306 74.24242424242425 NaN NaN NaN NaN NaN NaN 0.621212 52.651515 21.976067
39 vowel.scale 8 4 False 10 0.5681818 54.54545454545454 0.7348485 74.24242424242425 NaN NaN NaN NaN NaN NaN 0.651515 64.393939 36.613284
40 vowel.scale 8 5 False 10 0.65909094 63.63636363636363 NaN NaN NaN NaN NaN NaN NaN NaN 0.659091 63.636364 49.061364
41 vowel.scale 9 1 False 10 0.65909094 65.9090909090909 0.45454544 54.54545454545454 0.7575758 15.909090909090908 0.20454545 43.18181818181818 0.81060606 68.93939393939394 0.577273 49.696970 16.557603
42 vowel.scale 9 2 False 10 0.6515151 63.63636363636363 0.8939394 9.848484848484848 0.7954545 73.48484848484848 NaN NaN NaN NaN 0.780303 48.989899 16.060728
43 vowel.scale 9 3 False 10 0.8939394 63.63636363636363 0.8636364 29.545454545454547 NaN NaN NaN NaN NaN NaN 0.878788 46.590909 31.269776
44 vowel.scale 9 4 False 10 0.87878793 71.21212121212122 0.96212125 95.45454545454545 NaN NaN NaN NaN NaN NaN 0.920455 83.333333 38.635118
45 vowel.scale 9 5 False 10 0.8333333 65.15151515151516 NaN NaN NaN NaN NaN NaN NaN NaN 0.833333 65.151515 55.137056
46 vowel.scale 10 1 False 10 0.6515151 65.15151515151516 0.84090906 90.15151515151516 0.9090909 84.84848484848484 0.88636357 68.93939393939394 0.6666667 68.93939393939394 0.790909 75.606061 8.205885
47 vowel.scale 10 2 False 10 0.6515151 64.39393939393939 0.9469697 8.333333333333332 0.9166666 42.42424242424242 NaN NaN NaN NaN 0.838384 38.383838 53.999804
48 vowel.scale 10 3 False 10 0.8333333 7.575757575757576 0.9469697 74.24242424242425 NaN NaN NaN NaN NaN NaN 0.890151 40.909091 26.949097
49 vowel.scale 10 4 False 10 0.9166666 29.545454545454547 0.7121212 71.96969696969697 NaN NaN NaN NaN NaN NaN 0.814394 50.757576 39.029154
50 vowel.scale 10 5 False 10 0.9015151 75.0 NaN NaN NaN NaN NaN NaN NaN NaN 0.901515 75.000000 48.014984
51 vowel.scale 11 1 False 10 0.9015151 82.57575757575758 0.9242424 72.72727272727273 0.8257576 67.42424242424242 1.0 54.54545454545454 0.88636357 21.21212121212121 0.907576 59.696970 35.036750
52 vowel.scale 11 2 False 10 0.5984849 53.78787878787878 0.9469697 8.333333333333332 0.9318181 67.42424242424242 NaN NaN NaN NaN 0.825758 43.181818 20.131506
53 vowel.scale 11 3 False 10 0.84090906 86.36363636363636 0.9015151 74.24242424242425 NaN NaN NaN NaN NaN NaN 0.871212 80.303030 70.046702
54 vowel.scale 11 4 False 10 0.8712121 29.545454545454547 0.8636364 84.0909090909091 NaN NaN NaN NaN NaN NaN 0.867424 56.818182 40.382130
55 vowel.scale 11 5 False 10 0.9090909 89.39393939393939 NaN NaN NaN NaN NaN NaN NaN NaN 0.909091 89.393939 60.477661
